code	level	term	prefix	range	group
8000/0	Preferred	Neoplasm, benign	800	800	Neoplasms, NOS
8000/0	Synonym	Tumor, benign	800	800	Neoplasms, NOS
8000/0	Synonym	Unclassified tumor, benign	800	800	Neoplasms, NOS
8000/1	Preferred	Neoplasm, uncertain whether benign or malignant	800	800	Neoplasms, NOS
8000/1	Synonym	Neoplasm, NOS	800	800	Neoplasms, NOS
8000/1	Synonym	Tumor, NOS	800	800	Neoplasms, NOS
8000/1	Synonym	Unclassified tumor, borderline malignancy	800	800	Neoplasms, NOS
8000/1	Synonym	Unclassified tumor, uncertain whether benign or malignant	800	800	Neoplasms, NOS
8000/3	Preferred	Neoplasm, malignant	800	800	Neoplasms, NOS
8000/3	Synonym	Blastoma, NOS	800	800	Neoplasms, NOS
8000/3	Synonym	Tumor, malignant, NOS	800	800	Neoplasms, NOS
8000/3	Synonym	Cancer	800	800	Neoplasms, NOS
8000/3	Synonym	Malignancy	800	800	Neoplasms, NOS
8000/3	Synonym	Unclassified tumor, malignant	800	800	Neoplasms, NOS
8000/6	Preferred	Neoplasm, metastatic	800	800	Neoplasms, NOS
8000/6	Synonym	Neoplasm, secondary	800	800	Neoplasms, NOS
8000/6	Synonym	Tumor embolus	800	800	Neoplasms, NOS
8000/6	Synonym	Tumor, metastatic	800	800	Neoplasms, NOS
8000/6	Synonym	Tumor, secondary	800	800	Neoplasms, NOS
8000/9	Preferred	Neoplasm, malignant, uncertain whether primary or metastatic	800	800	Neoplasms, NOS
8000/9	Synonym	Unclassified tumor, malignant, uncertain whether primary or metastatic	800	800	Neoplasms, NOS
8001/0	Preferred	Tumor cells, benign	800	800	Neoplasms, NOS
8001/1	Preferred	Tumor cells, uncertain whether benign or malignant	800	800	Neoplasms, NOS
8001/1	Synonym	Tumor cells, NOS	800	800	Neoplasms, NOS
8001/3	Preferred	Tumor cells, malignant	800	800	Neoplasms, NOS
8002/3	Preferred	Malignant tumor, small cell type	800	800	Neoplasms, NOS
8003/3	Preferred	Malignant tumor, giant cell type	800	800	Neoplasms, NOS
8004/3	Preferred	Malignant tumor, spindle cell type	800	800	Neoplasms, NOS
8004/3	Synonym	Malignant tumor, fusiform cell type	800	800	Neoplasms, NOS
8005/0	Preferred	Clear cell tumor, NOS	800	800	Neoplasms, NOS
8005/3	Preferred	Malignant tumor, clear cell type	800	800	Neoplasms, NOS
8010/0	Preferred	Epithelial tumor, benign	801	801-804	Epithelial neoplasms, NOS
8010/2	Preferred	Carcinoma in situ, NOS	801	801-804	Epithelial neoplasms, NOS
8010/2	Synonym	Intraepithelial carcinoma, NOS	801	801-804	Epithelial neoplasms, NOS
8010/3	Preferred	Carcinoma, NOS	801	801-804	Epithelial neoplasms, NOS
8010/3	Synonym	Epithelial tumor, malignant	801	801-804	Epithelial neoplasms, NOS
8010/6	Preferred	Carcinoma, metastatic, NOS	801	801-804	Epithelial neoplasms, NOS
8010/6	Synonym	Secondary carcinoma	801	801-804	Epithelial neoplasms, NOS
8010/9	Preferred	Carcinomatosis	801	801-804	Epithelial neoplasms, NOS
8011/0	Preferred	Epithelioma, benign	801	801-804	Epithelial neoplasms, NOS
8011/3	Preferred	Epithelioma, malignant	801	801-804	Epithelial neoplasms, NOS
8011/3	Synonym	Epithelioma, NOS	801	801-804	Epithelial neoplasms, NOS
8012/3	Preferred	Large cell carcinoma, NOS	801	801-804	Epithelial neoplasms, NOS
8013/3	Preferred	Large cell neuroendocrine carcinoma	801	801-804	Epithelial neoplasms, NOS
8014/3	Preferred	Large cell carcinoma with rhabdoid phenotype	801	801-804	Epithelial neoplasms, NOS
8015/3	Preferred	Glassy cell carcinoma	801	801-804	Epithelial neoplasms, NOS
8020/3	Preferred	Carcinoma, undifferentiated, NOS	802	801-804	Epithelial neoplasms, NOS
8021/3	Preferred	Carcinoma, anaplastic, NOS	802	801-804	Epithelial neoplasms, NOS
8022/3	Preferred	Pleomorphic carcinoma	802	801-804	Epithelial neoplasms, NOS
8023/3	Preferred	Nuclear protein in testis (NUT) associated carcinoma	802	801-804	Epithelial neoplasms, NOS
8023/3	Synonym	NUT carcinoma	802	801-804	Epithelial neoplasms, NOS
8023/3	Synonym	NUT midline carcinoma	802	801-804	Epithelial neoplasms, NOS
8030/3	Preferred	Giant cell and spindle cell carcinoma	803	801-804	Epithelial neoplasms, NOS
8031/3	Preferred	Giant cell carcinoma	803	801-804	Epithelial neoplasms, NOS
8032/3	Preferred	Spindle cell carcinoma, NOS	803	801-804	Epithelial neoplasms, NOS
8033/3	Preferred	Pseudosarcomatous carcinoma	803	801-804	Epithelial neoplasms, NOS
8033/3	Synonym	Sarcomatoid carcinoma	803	801-804	Epithelial neoplasms, NOS
8034/3	Preferred	Polygonal cell carcinoma	803	801-804	Epithelial neoplasms, NOS
8035/3	Preferred	Carcinoma with osteoclast-like giant cells	803	801-804	Epithelial neoplasms, NOS
8040/0	Preferred	Tumorlet, benign	804	801-804	Epithelial neoplasms, NOS
8040/1	Preferred	Tumorlet, NOS	804	801-804	Epithelial neoplasms, NOS
8041/3	Preferred	Small cell carcinoma, NOS	804	801-804	Epithelial neoplasms, NOS
8041/3	Synonym	Reserve cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8041/3	Synonym	Round cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8041/3	Synonym	Small cell carcinoma, pulmonary type	804	801-804	Epithelial neoplasms, NOS
8042/3	Preferred	Oat cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8043/3	Preferred	Small cell carcinoma, fusiform cell	804	801-804	Epithelial neoplasms, NOS
8044/3	Preferred	Small cell carcinoma, intermediate cell	804	801-804	Epithelial neoplasms, NOS
8045/3	Preferred	Combined small cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8045/3	Synonym	Mixed small cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8046/3	Preferred	Non-small cell carcinoma	804	801-804	Epithelial neoplasms, NOS
8050/0	Preferred	Papilloma, NOS	805	805-808	Squamous cell neoplasms
8050/2	Preferred	Papillary carcinoma in situ	805	805-808	Squamous cell neoplasms
8050/3	Preferred	Papillary carcinoma, NOS	805	805-808	Squamous cell neoplasms
8051/0	Preferred	Verrucous papilloma	805	805-808	Squamous cell neoplasms
8051/3	Preferred	Verrucous carcinoma, NOS	805	805-808	Squamous cell neoplasms
8051/3	Synonym	Verrucous epidermoid carcinoma	805	805-808	Squamous cell neoplasms
8051/3	Synonym	Verrucous squamous cell carcinoma	805	805-808	Squamous cell neoplasms
8052/0	Preferred	Squamous cell papilloma, NOS	805	805-808	Squamous cell neoplasms
8052/0	Synonym	Keratotic papilloma	805	805-808	Squamous cell neoplasms
8052/0	Synonym	Squamous papilloma	805	805-808	Squamous cell neoplasms
8052/2	Preferred	Papillary squamous cell carcinoma, non-invasive	805	805-808	Squamous cell neoplasms
8052/2	Synonym	Papillary squamous cell carcinoma in situ	805	805-808	Squamous cell neoplasms
8052/3	Preferred	Papillary squamous cell carcinoma	805	805-808	Squamous cell neoplasms
8052/3	Synonym	Papillary epidermoid carcinoma	805	805-808	Squamous cell neoplasms
8053/0	Preferred	Squamous cell papilloma, inverted	805	805-808	Squamous cell neoplasms
8054/0	Preferred	Warty dyskeratoma	805	805-808	Squamous cell neoplasms
8054/3	Preferred	Warty carcinoma	805	805-808	Squamous cell neoplasms
8054/3	Synonym	Condylomatous carcinoma	805	805-808	Squamous cell neoplasms
8060/0	Preferred	Squamous papillomatosis	806	805-808	Squamous cell neoplasms
8060/0	Synonym	Papillomatosis, NOS	806	805-808	Squamous cell neoplasms
8070/0	Preferred	Actinic keratosis	807	805-808	Squamous cell neoplasms
8070/2	Preferred	Squamous cell carcinoma in situ, NOS	807	805-808	Squamous cell neoplasms
8070/2	Synonym	Epidermoid carcinoma in situ, NOS	807	805-808	Squamous cell neoplasms
8070/2	Synonym	Intraepidermal carcinoma, NOS	807	805-808	Squamous cell neoplasms
8070/2	Synonym	Intraepithelial squamous cell carcinoma	807	805-808	Squamous cell neoplasms
8070/3	Preferred	Squamous cell carcinoma, NOS	807	805-808	Squamous cell neoplasms
8070/3	Synonym	Squamous cell carcinoma, usual type	807	805-808	Squamous cell neoplasms
8070/3	Synonym	Epidermoid carcinoma, NOS	807	805-808	Squamous cell neoplasms
8070/3	Synonym	Squamous carcinoma	807	805-808	Squamous cell neoplasms
8070/3	Synonym	Squamous cell epithelioma	807	805-808	Squamous cell neoplasms
8070/6	Preferred	Squamous cell carcinoma, metastatic, NOS	807	805-808	Squamous cell neoplasms
8071/2	Preferred	Differentiated intraepithelial neoplasia	807	805-808	Squamous cell neoplasms
8071/3	Preferred	Squamous cell carcinoma, keratinizing, NOS	807	805-808	Squamous cell neoplasms
8071/3	Synonym	Epidermoid carcinoma, keratinizing	807	805-808	Squamous cell neoplasms
8071/3	Synonym	Squamous cell carcinoma, large cell, keratinizing	807	805-808	Squamous cell neoplasms
8072/0	Preferred	Large cell acanthoma	807	805-808	Squamous cell neoplasms
8072/3	Preferred	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	807	805-808	Squamous cell neoplasms
8072/3	Synonym	Epidermoid carcinoma, large cell, nonkeratinizing	807	805-808	Squamous cell neoplasms
8072/3	Synonym	Squamous cell carcinoma, nonkeratinizing, NOS	807	805-808	Squamous cell neoplasms
